 i       X     FEXACT   FI_UPWIND   ERR_UP
 329   0.20575   0.96160   0.50047   0.46113
 330   0.20638   0.96268   0.49760   0.46508
 331   0.20700   0.96371   0.49473   0.46899
 332   0.20763   0.96477   0.49184   0.47292
 333   0.20826   0.96579   0.48895   0.47683
 334   0.20888   0.96681   0.48606   0.48075
 335   0.20951   0.96780   0.48315   0.48465
 336   0.21013   0.96877   0.48024   0.48854
 337   0.21076   0.96975   0.47732   0.49243
 338   0.21138   0.97070   0.47439   0.49631
 339   0.21201   0.97164   0.47145   0.50019
 340   0.21263   0.97256   0.46851   0.50405
 341   0.21326   0.97346   0.46556   0.50790
 342   0.21388   0.97436   0.46260   0.51176
 343   0.21451   0.97523   0.45964   0.51559
 344   0.21513   0.97610   0.45667   0.51944
 345   0.21576   0.97694   0.45369   0.52326
 346   0.21639   0.97777   0.45070   0.52707
 347   0.21701   0.97859   0.44771   0.53088
 348   0.21764   0.97939   0.44471   0.53468
 349   0.21826   0.98018   0.44170   0.53848
 350   0.21889   0.98095   0.43869   0.54226
 351   0.21951   0.98170   0.43567   0.54603
 352   0.22014   0.98245   0.43264   0.54980
 353   0.22076   0.98317   0.42961   0.55356
 354   0.22139   0.98389   0.42657   0.55732
 355   0.22201   0.98458   0.42352   0.56105
 356   0.22264   0.98525   0.42047   0.56478
 357   0.22326   0.98593   0.41741   0.56851
 358   0.22389   0.98657   0.41435   0.57222
 359   0.22452   0.98721   0.41127   0.57594
 360   0.22514   0.98783   0.40820   0.57963
 361   0.22577   0.98843   0.40511   0.58332
 362   0.22639   0.98902   0.40202   0.58700
 363   0.22702   0.98959   0.39892   0.59067
 364   0.22764   0.99015   0.39582   0.59433
 365   0.22827   0.99068   0.39271   0.59797
 366   0.22889   0.99122   0.38959   0.60162
 367   0.22952   0.99173   0.38647   0.60525
 368   0.23014   0.99222   0.38335   0.60887
 369   0.23077   0.99271   0.38021   0.61249
 370   0.23139   0.99317   0.37707   0.61609
 371   0.23202   0.99362   0.37393   0.61969
 372   0.23265   0.99406   0.37078   0.62328
 373   0.23327   0.99447   0.36762   0.62685
 374   0.23390   0.99488   0.36446   0.63042
 375   0.23452   0.99527   0.36129   0.63398
 376   0.23515   0.99565   0.35812   0.63753
 377   0.23577   0.99600   0.35494   0.64107
 378   0.23640   0.99635   0.35175   0.64459
 379   0.23702   0.99668   0.34856   0.64811
 380   0.23765   0.99699   0.34537   0.65162
 381   0.23827   0.99729   0.34217   0.65512
 382   0.23890   0.99757   0.33896   0.65861
 383   0.23952   0.99783   0.33575   0.66208
 384   0.24015   0.99809   0.33253   0.66555
 385   0.24078   0.99832   0.32931   0.66901
 386   0.24140   0.99854   0.32609   0.67246
 387   0.24203   0.99874   0.32285   0.67589
 388   0.24265   0.99893   0.31962   0.67932
 389   0.24328   0.99911   0.31637   0.68273
 390   0.24390   0.99927   0.31313   0.68614
 391   0.24453   0.99941   0.30988   0.68953
 392   0.24515   0.99954   0.30662   0.69292
 393   0.24578   0.99965   0.30336   0.69629
 394   0.24640   0.99974   0.30009   0.69965
 395   0.24703   0.99983   0.29682   0.70300
 396   0.24765   0.99989   0.29355   0.70634
 397   0.24828   0.99994   0.29027   0.70967
 398   0.24891   0.99998   0.28699   0.71299
 399   0.24953   1.00000   0.28370   0.71630
 400   0.25016   1.00000   0.28041   0.71959
 401   0.25078   0.99999   0.27711   0.72288
 402   0.25141   0.99996   0.27381   0.72615
 403   0.25203   0.99992   0.27050   0.72942
 404   0.25266   0.99986   0.26719   0.73267
 405   0.25328   0.99979   0.26388   0.73591
 406   0.25391   0.99970   0.26056   0.73914
 407   0.25453   0.99960   0.25724   0.74236
 408   0.25516   0.99948   0.25391   0.74556
 409   0.25578   0.99934   0.25059   0.74876
 410   0.25641   0.99919   0.24725   0.75194
 411   0.25704   0.99902   0.24391   0.75511
 412   0.25766   0.99884   0.24057   0.75827
 413   0.25829   0.99865   0.23723   0.76142
 414   0.25891   0.99843   0.23388   0.76455
 415   0.25954   0.99820   0.23053   0.76768
 416   0.26016   0.99796   0.22717   0.77079
 417   0.26079   0.99771   0.22381   0.77389
 418   0.26141   0.99743   0.22045   0.77698
 419   0.26204   0.99714   0.21708   0.78006
 420   0.26266   0.99683   0.21372   0.78312
 421   0.26329   0.99652   0.21034   0.78617
 422   0.26391   0.99618   0.20697   0.78922
 423   0.26454   0.99583   0.20359   0.79224
 424   0.26517   0.99547   0.20021   0.79526
 425   0.26579   0.99508   0.19682   0.79826
 426   0.26642   0.99469   0.19343   0.80125
 427   0.26704   0.99428   0.19004   0.80423
 428   0.26767   0.99384   0.18665   0.80720
 429   0.26829   0.99340   0.18325   0.81015
 430   0.26892   0.99294   0.17985   0.81309
 431   0.26954   0.99247   0.17645   0.81602
 432   0.27017   0.99198   0.17304   0.81894
 433   0.27079   0.99147   0.16963   0.82184
 434   0.27142   0.99096   0.16622   0.82474
 435   0.27205   0.99043   0.16281   0.82762
 436   0.27267   0.98988   0.15939   0.83049
 437   0.27330   0.98931   0.15597   0.83333
 438   0.27392   0.98873   0.15255   0.83618
 439   0.27455   0.98814   0.14913   0.83901
 440   0.27517   0.98752   0.14571   0.84182
 441   0.27580   0.98690   0.14228   0.84462
 442   0.27642   0.98625   0.13885   0.84740
 443   0.27705   0.98560   0.13542   0.85018
 444   0.27767   0.98493   0.13198   0.85295
 445   0.27830   0.98424   0.12855   0.85569
 446   0.27892   0.98354   0.12511   0.85843
 447   0.27955   0.98281   0.12167   0.86115
 448   0.28018   0.98209   0.11823   0.86386
 449   0.28080   0.98134   0.11478   0.86656
 450   0.28143   0.98057   0.11134   0.86923
 451   0.28205   0.97980   0.10789   0.87191
 452   0.28268   0.97900   0.10444   0.87456
 453   0.28330   0.97819   0.10099   0.87720
 454   0.28393   0.97737   0.09754   0.87984
 455   0.28455   0.97653   0.09409   0.88244
 456   0.28518   0.97568   0.09063   0.88505
 457   0.28580   0.97480   0.08717   0.88763
 458   0.28643   0.97392   0.08372   0.89021
 459   0.28705   0.97301   0.08026   0.89276
 460   0.28768   0.97211   0.07680   0.89531
 461   0.28831   0.97118   0.07334   0.89785
 462   0.28893   0.97023   0.06987   0.90036
 463   0.28956   0.96928   0.06641   0.90287
 464   0.29018   0.96829   0.06294   0.90535
 465   0.29081   0.96731   0.05948   0.90783
 466   0.29143   0.96631   0.05601   0.91030
 467   0.29206   0.96528   0.05254   0.91274
